State,Recharge_Rainfall_Monsoon,Recharge_Other_Monsoon,Recharge_Rainfall_NonMonsoon,Recharge_Other_NonMonsoon,Total_Recharge,Natural_Discharges,Extractable_Resource,Irrigation,Industrial,Domestic,Total_Extraction,Domestic_Allocation,Net_Availability,Stage_Extraction,Year,Industrial_was_missing
Andaman & Nicobar,0.298,0.0002,0.32,0.0001,0.618,0.062,0.557,0.0001,0.001,0.007,0.008,0.007,0.549,1.37,2023,False
Andhra Pradesh,8.97,9.94,0.85,8.08,27.83,1.39,26.45,6.44,0.14,0.9,7.48,1.25,19.09,28.3,2023,False
Arunachal Pradesh,2.11,0.66,1.06,0.81,4.65,0.49,4.16,0.01,0.0003,0.01,0.02,0.01,4.15,0.42,2023,False
Assam,19.29,0.81,6.53,0.63,27.26,6.32,20.93,2.06,0.01,0.55,2.63,0.58,18.27,12.54,2023,False
Bihar,20.0,7.72,1.14,5.11,33.96,3.24,30.72,10.13,0.37,3.26,13.75,3.48,17.02,44.76,2023,False
Chandigarh,0.01,0.014,0.003,0.027,0.054,0.005,0.048,0.008,0.002,0.026,0.037,0.026,0.012,75.41,2023,False
Chhattisgarh,8.39,2.24,0.23,2.49,13.34,1.16,12.18,4.87,0.13,0.75,5.75,0.83,6.51,47.17,2023,False
Dadra & Nagar Haveli and Daman & Diu,0.09,0.01,0.003,0.02,0.12,0.01,0.12,0.01,0.14,0.01,0.16,0.03,0.01,133.33,2023,False
Delhi,0.08,0.09,0.04,0.17,0.38,0.04,0.34,0.08,0.0007,0.26,0.34,0.28,0.03,99.13,2023,False
Goa,0.356,0.008,0.003,0.029,0.396,0.079,0.317,0.025,0.005,0.038,0.068,0.04,0.247,21.37,2023,False
Gujarat,19.49,2.75,0.0,5.12,27.35,1.95,25.41,12.13,0.17,0.84,13.13,0.8,12.86,51.68,2023,False
Haryana,3.18,2.87,0.63,2.87,9.55,0.86,8.69,10.55,0.62,0.62,11.8,0.64,1.0,135.74,2023,False
Himachal Pradesh,0.62,0.18,0.13,0.19,1.11,0.1,1.01,0.18,0.05,0.12,0.35,0.12,0.66,34.95,2023,False
Jammu & Kashmir,1.17,1.94,1.18,0.64,4.94,0.47,4.46,0.32,0.05,0.71,1.08,0.73,3.36,24.2,2023,False
Jharkhand,4.96,0.46,0.46,0.37,6.25,0.52,5.73,0.94,0.21,0.65,1.8,0.65,3.95,31.38,2023,False
Karnataka,9.22,4.95,1.12,3.64,18.93,1.85,17.08,10.09,0.13,1.1,11.32,1.18,7.29,66.26,2023,False
Kerala,4.09,0.14,0.44,0.85,5.53,0.52,5.01,1.12,0.01,1.59,2.73,2.19,2.02,54.55,2023,False
Ladakh,0.01,0.05,0.02,0.0,0.09,0.01,0.08,0.0,0.0002,0.03,0.03,0.03,0.05,37.05,2023,False
Lakshadweep,0.011,1e-05,0.003,0.0,0.014,0.008,0.005,0.0,0.0,0.003,0.003,0.003,0.002,61.723,2023,False
Madhya Pradesh,26.94,1.62,0.13,6.78,35.47,2.62,32.85,17.4,0.17,1.72,19.3,1.88,14.45,58.75,2023,False
Maharashtra,20.74,2.62,0.64,8.76,32.76,1.82,30.95,15.28,0.03,1.36,16.66,1.42,14.81,53.83,2023,False
Manipur,0.4,0.001,0.11,0.006,0.52,0.05,0.47,0.017,0.0002,0.02,0.04,0.02,0.42,7.99,2023,False
Meghalaya,1.32,0.05,0.42,0.04,1.83,0.32,1.51,0.02,0.0003,0.04,0.07,0.05,1.43,4.58,2023,False
Mizoram,0.19,0.0,0.03,0.0,0.22,0.02,0.2,0.0,0.0,0.01,0.01,0.01,0.19,3.7,2023,False
Nagaland,0.4,0.12,0.08,0.0039543,0.6,0.06,0.54,0.00227,2e-05,0.02,0.02,0.02,0.52,3.76,2023,False
Odisha,10.19,2.89,1.51,2.76,17.35,1.41,15.94,5.96,0.18,1.25,7.39,1.37,8.49,46.33,2023,False
Puducherry,0.05,0.09,0.01,0.04,0.2,0.02,0.18,0.07,0.01,0.05,0.13,0.05,0.05,70.27,2023,False
Punjab,4.72,9.07,0.72,4.33,18.84,1.87,16.98,26.39,0.24,1.18,27.8,1.19,1.82,163.76,2023,False
Rajasthan,9.01,0.64,0.19,2.6,12.45,1.2,11.25,14.3,0.13,2.31,16.74,2.31,0.9,148.77,2023,False
Sikkim,0.166,0.004,0.073,0.0,0.243,0.024,0.219,0.009,0.001,0.002,0.012,0.002,0.206,5.54,2023,False
Tamil Nadu,7.26,10.36,1.3,2.66,21.59,2.1,19.51,13.48,0.15,0.79,14.42,1.47,6.86,73.91,2023,False
Telangana,7.15,7.43,1.0,7.55,23.14,2.22,20.92,7.24,0.35,0.49,8.09,0.7,12.83,38.65,2023,False
Tripura,0.81,0.16,0.32,0.07,1.36,0.26,1.09,0.03,0.0003,0.08,0.11,0.09,0.98,9.92,2023,False
Uttar Pradesh,35.72,14.01,0.78,21.32,71.83,6.26,65.57,40.92,0.44,5.04,46.4,5.42,20.04,70.76,2023,False
Uttarakhand,1.31,0.29,0.1,0.32,2.02,0.17,1.85,0.67,0.12,0.17,0.95,0.17,0.89,51.69,2023,False
West Bengal,16.91,1.71,3.54,4.13,26.29,2.39,23.9,8.99,0.15,1.57,10.71,1.77,13.07,44.81,2023,False
Andaman & Nicobar,0.2,0.0,0.17,0.0,0.38,0.04,0.34,0.0,0.0,0.01,0.01,0.01,0.33,2.08,2024,False
Andhra Pradesh,9.0,10.79,0.82,7.18,27.8,1.39,26.41,6.75,0.13,1.0,7.88,1.24,18.83,29.83,2024,False
Arunachal Pradesh,2.16,0.27,1.11,0.34,3.88,0.42,3.46,0.01,0.0,0.01,0.01,0.01,3.44,0.39,2024,False
Assam,19.45,0.67,6.53,0.56,27.21,6.32,20.89,2.06,0.01,0.56,2.64,0.58,18.23,12.61,2024,False
Bihar,19.54,8.05,1.14,5.42,34.15,3.19,30.95,10.21,0.4,3.48,14.1,3.76,16.7,45.54,2024,False
Chandigarh,0.01,0.01,0.0,0.03,0.06,0.01,0.05,0.01,0.0,0.03,0.03,0.03,0.02,66.13,2024,False
Chhattisgarh,8.57,3.43,0.15,2.03,14.18,1.26,12.93,5.21,0.14,0.77,6.12,0.84,6.82,47.32,2024,False
Dadra & Nagar Haveli and Daman & Diu,0.09,0.01,0.0,0.02,0.12,0.01,0.12,0.01,0.14,0.01,0.16,0.03,0.01,133.33,2024,False
Delhi,0.12,0.09,0.0,0.17,0.38,0.04,0.34,0.08,0.0,0.26,0.34,0.28,0.02,100.77,2024,False
Goa,0.35,0.01,0.0,0.03,0.38,0.08,0.31,0.03,0.0,0.04,0.07,0.04,0.24,22.91,2024,False
Gujarat,19.58,2.79,0.0,5.21,27.58,2.0,25.58,12.81,0.21,0.85,13.86,0.92,12.38,54.21,2024,False
Haryana,3.26,3.51,0.67,2.86,10.32,0.96,9.36,11.47,0.58,0.67,12.72,0.68,1.1,135.96,2024,False
Himachal Pradesh,0.61,0.18,0.13,0.2,1.11,0.1,1.01,0.19,0.06,0.12,0.36,0.12,0.65,35.48,2024,False
Jammu & Kashmir,1.19,0.35,0.85,0.15,2.55,0.25,2.3,0.13,0.02,0.37,0.51,0.37,1.79,22.28,2024,False
Jharkhand,4.98,0.46,0.47,0.37,6.28,0.52,5.76,0.94,0.22,0.65,1.81,0.65,3.96,31.43,2024,False
Karnataka,8.79,5.01,1.23,3.7,18.74,1.86,16.88,10.15,0.19,1.22,11.55,1.28,7.1,68.44,2024,False
Kerala,4.19,0.13,0.49,0.85,5.67,0.54,5.13,1.12,0.01,1.63,2.76,2.14,2.12,53.78,2024,False
Ladakh,0.0,0.05,0.01,0.0,0.07,0.01,0.06,0.0,0.0,0.02,0.02,0.02,0.04,30.93,2024,False
Lakshadweep,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,61.32,2024,False
Madhya Pradesh,27.0,1.68,0.17,7.04,35.9,1.91,33.99,17.9,0.2,1.76,19.85,1.88,15.02,58.4,2024,False
Maharashtra,20.69,2.76,0.73,8.85,33.03,1.89,31.15,15.07,0.03,1.4,16.5,1.46,15.09,52.99,2024,False
Manipur,0.4,0.001,0.11,0.006,0.52,0.05,0.47,0.017,0.0002,0.02,0.04,0.02,0.43,8.0,2024,False
Meghalaya,1.35,0.06,0.42,0.04,1.86,0.33,1.53,0.02,0.0,0.05,0.07,0.05,1.48,4.6,2024,False
Mizoram,0.18,0.0,0.03,0.0,0.21,0.02,0.19,0.0,0.0,0.01,0.01,0.01,0.18,3.95,2024,False
Nagaland,0.41,0.12,0.08,0.01,0.62,0.05,0.56,0.01,0.0,0.02,0.03,0.02,0.53,4.72,2024,False
Odisha,10.18,2.94,1.51,2.84,17.46,1.42,16.04,6.28,0.19,1.26,7.74,1.37,8.26,48.23,2024,False
Puducherry,0.05,0.09,0.01,0.03,0.19,0.02,0.17,0.07,0.01,0.05,0.13,0.05,0.04,75.91,2024,False
Punjab,4.79,9.01,0.72,4.37,19.19,1.87,17.63,26.24,0.25,1.18,27.66,1.19,2.07,156.87,2024,False
Rajasthan,9.08,0.65,0.22,2.62,12.58,1.2,11.37,14.51,0.13,2.41,17.05,2.41,0.88,149.86,2024,False
Sikkim,0.18,0.0,0.06,0.0,0.24,0.02,0.22,0.01,0.0,0.0,0.01,0.0,0.2,5.85,2024,False
Tamil Nadu,7.42,10.18,1.2,2.71,21.51,2.07,19.46,13.51,0.14,0.8,14.45,1.45,6.76,74.26,2024,False
Telangana,6.88,6.63,0.94,5.96,20.4,1.96,18.44,7.59,0.37,0.51,8.47,0.74,9.95,45.91,2024,False
Tripura,1.03,0.16,0.2,0.07,1.45,0.27,1.18,0.03,0.0,0.08,0.11,0.09,1.07,9.48,2024,False
Uttar Pradesh,36.43,14.12,0.81,21.47,72.84,6.46,66.38,41.15,0.53,5.08,46.76,5.38,20.52,70.45,2024,False
Uttarakhand,1.53,0.21,0.14,0.26,2.14,0.17,1.96,0.74,0.13,0.18,1.05,0.26,0.83,53.54,2024,False
West Bengal,16.65,1.71,3.4,4.13,25.89,2.33,23.56,8.99,0.17,1.59,10.75,1.77,12.72,45.63,2024,False
Andaman & Nicobar,0.2,0.0,0.19,0.0,0.38,0.04,0.35,0.0,0.0,0.01,0.01,0.01,0.34,2.27,2025,False
Andhra Pradesh,8.83,9.4,0.97,7.15,26.34,1.32,25.02,6.76,0.14,0.99,7.88,1.29,17.37,31.51,2025,False
Arunachal Pradesh,2.12,0.26,0.98,0.33,3.69,0.4,3.29,0.01,0.0,0.01,0.01,0.01,3.27,0.41,2025,False
Assam,17.95,0.96,6.53,0.93,26.36,6.08,20.29,2.35,0.01,0.57,2.93,0.69,17.23,14.45,2025,False
Bihar,19.46,8.32,1.14,5.6,34.51,3.19,31.32,10.51,0.41,3.55,14.47,4.85,15.76,46.2,2025,False
Chandigarh,0.01,0.01,0.0,0.03,0.05,0.01,0.05,0.01,0.0,0.02,0.03,0.03,0.01,67.0,2025,False
Chhattisgarh,8.62,3.51,0.15,2.03,14.3,1.23,13.07,5.35,0.15,0.79,6.3,0.88,6.8,48.18,2025,False
Dadra & Nagar Haveli and Daman & Diu,0.07,0.02,0.0,0.03,0.13,0.01,0.12,0.01,0.02,0.02,0.05,0.05,0.05,41.67,2025,False
Delhi,0.11,0.09,0.01,0.17,0.38,0.04,0.35,0.08,0.0,0.23,0.32,0.27,0.03,92.1,2025,False
Goa,0.34,0.01,0.0,0.03,0.38,0.08,0.31,0.03,0.0,0.04,0.07,0.05,0.23,23.3,2025,False
Gujarat,19.51,2.82,0.0,5.25,27.58,1.97,25.61,13.25,0.2,0.88,14.33,1.16,11.97,55.95,2025,False
Haryana,3.21,3.55,0.63,2.88,10.27,0.97,9.3,11.42,0.58,0.72,12.72,0.74,1.11,136.75,2025,False
Himachal Pradesh,0.61,0.18,0.13,0.2,1.12,0.11,1.01,0.19,0.07,0.13,0.39,0.13,0.62,38.5,2025,False
Jammu & Kashmir,1.02,0.35,0.78,0.15,2.3,0.23,2.07,0.13,0.02,0.37,0.51,0.37,1.56,24.73,2025,False
Jharkhand,4.83,0.47,0.46,0.38,6.15,0.51,5.63,0.94,0.23,0.69,1.85,0.69,3.79,32.89,2025,False
Karnataka,9.02,5.37,1.23,3.66,19.27,1.86,17.41,10.16,0.21,1.21,11.58,1.48,7.32,66.49,2025,False
Kerala,4.07,0.17,0.32,0.9,5.45,0.52,4.93,1.18,0.01,1.28,2.46,1.36,2.38,49.95,2025,False
Ladakh,0.0,0.05,0.01,0.0,0.07,0.01,0.06,0.0,0.0,0.02,0.02,0.02,0.04,30.93,2025,False
Lakshadweep,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,57.79,2025,False
Madhya Pradesh,26.99,1.75,0.11,7.22,36.07,1.92,34.15,18.27,0.21,1.79,20.26,2.37,14.51,59.32,2025,False
Maharashtra,20.63,3.08,0.99,9.19,33.89,1.89,31.99,15.13,0.04,1.4,16.57,1.46,15.81,51.79,2025,False
Manipur,0.4,0.001,0.07,0.016,0.44,0.04,0.4,0.017,0.0008,0.02,0.04,0.02,0.36,9.09,2025,False
Meghalaya,1.34,0.04,0.42,0.03,1.84,0.3,1.54,0.03,0.0,0.05,0.08,0.07,1.44,5.24,2025,False
Mizoram,0.18,0.0,0.04,0.0,0.21,0.02,0.19,0.0,0.0,0.01,0.01,0.01,0.18,4.03,2025,False
Nagaland,0.39,0.07,0.09,0.01,0.55,0.05,0.5,0.01,0.0,0.02,0.02,0.02,0.48,4.72,2025,False
Odisha,10.11,2.96,1.51,2.86,17.44,1.42,16.02,6.32,0.21,1.28,7.81,2.36,7.97,48.75,2025,False
Puducherry,0.05,0.09,0.01,0.04,0.19,0.02,0.17,0.07,0.01,0.05,0.13,0.07,0.03,75.98,2025,False
Punjab,4.71,8.76,0.72,4.39,18.6,1.82,16.8,24.89,0.25,1.12,26.27,1.16,1.86,156.36,2025,False
Rajasthan,9.25,0.72,0.23,2.67,12.87,1.25,11.62,14.46,0.13,2.51,17.1,2.51,0.93,147.11,2025,False
Sikkim,0.18,0.0,0.06,0.0,0.24,0.02,0.22,0.01,0.0,0.0,0.01,0.0,0.2,5.87,2025,False
Tamil Nadu,7.8,10.84,0.62,3.34,22.61,2.17,20.46,14.15,0.25,0.64,15.04,1.35,7.32,73.5,2025,False
Telangana,7.34,7.07,0.92,6.6,21.93,2.09,19.84,8.28,0.4,0.59,9.26,0.8,10.67,46.69,2025,False
Tripura,0.97,0.11,0.2,0.25,1.53,0.29,1.24,0.04,0.0,0.09,0.12,0.1,1.1,10.06,2025,False
Uttar Pradesh,36.83,14.3,0.77,21.49,73.39,6.41,66.97,41.34,0.37,5.18,46.89,5.87,20.53,70.0,2025,False
Uttarakhand,1.54,0.2,0.14,0.24,2.13,0.17,1.95,0.74,0.13,0.18,1.05,0.32,0.79,53.92,2025,False
West Bengal,16.69,1.68,3.41,4.07,25.85,2.36,23.5,8.98,0.17,1.47,10.62,3.85,12.4,45.19,2025,False
